Alpha-ID;Label;ICD-10-Code;Tumordiagnose
I105731;Bösartige Neubildung der Außenseite der Oberlippe;C00.0;1
I25253;Bösartige Neubildung der äußeren Oberlippe;C00.0;1
I84913;Bösartige Neubildung der Lippenrotgrenze der Oberlippe;C00.0;1
I105730;Bösartige Neubildung der oberen Lippenrotgrenze;C00.0;1
I25255;Bösartige Neubildung der Oberlippe;C00.0;1
I84763;Bösartige Neubildung des Lippenrots der Oberlippe;C00.0;1
I105732;Bösartige Neubildung des oberen Lippenstiftbereiches;C00.0;1
I25251;Karzinom der äußeren Oberlippe;C00.0;1
I25254;Krebs der äußeren Oberlippe;C00.0;1
I25252;Oberlippenkarzinom;C00.0;1
I25250;Oberlippenkrebs;C00.0;1
I134291;Plattenepithelkarzinom der äußeren Oberlippe;C00.0;1
I105734;Bösartige Neubildung der Außenseite der Unterlippe;C00.1;1
I25260;Bösartige Neubildung der äußeren Unterlippe;C00.1;1
I84914;Bösartige Neubildung der Lippenrotgrenze der Unterlippe;C00.1;1
I105733;Bösartige Neubildung der unteren Lippenrotgrenze;C00.1;1
I25256;Bösartige Neubildung der Unterlippe;C00.1;1
I84765;Bösartige Neubildung des Lippenrots der Unterlippe;C00.1;1
I105735;Bösartige Neubildung des unteren Lippenstiftbereiches;C00.1;1
I25258;Karzinom der äußeren Unterlippe;C00.1;1
I25261;Krebs der äußeren Unterlippe;C00.1;1
I134292;Plattenepithelkarzinom der äußeren Unterlippe;C00.1;1
I26157;Plattenepithelkarzinom der Unterlippe;C00.1;1
I25259;Unterlippenkarzinom;C00.1;1
I25257;Unterlippenkrebs;C00.1;1
I105736;Bösartige Neubildung der Außenseite der Lippe;C00.2;1
I84747;Bösartige Neubildung der Lippenrotgrenze;C00.2;1
I25249;Bösartige Neubildung des Lippenrots;C00.2;1
I105737;Bösartige Neubildung des Lippenstiftbereiches;C00.2;1
I134293;Plattenepithelkarzinom der Außenseite der Lippe;C00.2;1
I25262;Bösartige Neubildung der Innenseite der Oberlippe;C00.3;1
I84767;Bösartige Neubildung der Mundhöhlenseite der Oberlippe;C00.3;1
