Version	Topographie	Topographie Text	Morphologiecodes	Dignität	Default	ICD10	ICD-10 Text
ICD-O-3.2 2019	C(?!80\.9)\d\d\.\d	Jede (Metastasen-)Lokalisation	8000-9589	/6	0	C*	Jede bösartige Neubildung
ICD-O-3.2 2019	C00\.0	Äußere Oberlippe	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C00.0	Bösartige Neubildung: Äußere Oberlippe
ICD-O-3.2 2019	C00\.1	Äußere Unterlippe	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C00.1	Bösartige Neubildung: Äußere Unterlippe
ICD-O-3.2 2019	C00\.2	Äußere Lippe o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C00.2	Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet
ICD-O-3.2 2019	C00\.3	Schleimhaut der Oberlippe	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C00.3	Bösartige Neubildung: Oberlippe, Innenseite
ICD-O-3.2 2019	C00\.4	Schleimhaut der Unterlippe	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C00.4	Bösartige Neubildung: Unterlippe, Innenseite
ICD-O-3.2 2019	C00\.5	Lippenschleimhaut o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C00.5	Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite
ICD-O-3.2 2019	C00\.6	Lippenkommissur	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C00.6	Bösartige Neubildung: Lippenkommissur
ICD-O-3.2 2019	C00\.8	Lippe, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C00.8	Bösartige Neubildung: Lippe, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C00\.9	Lippe o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C00.9	Bösartige Neubildung: Lippe, nicht näher bezeichnet
ICD-O-3.2 2019	C01\.9	Zungengrund o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C01	Bösartige Neubildung des Zungengrundes
ICD-O-3.2 2019	C02\.0	Dorsale Oberfläche der Zunge	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C02.0	Bösartige Neubildung: Zungenrücken
ICD-O-3.2 2019	C02\.1	Zungenrand	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C02.1	Bösartige Neubildung: Zungenrand
ICD-O-3.2 2019	C02\.2	Ventrale Oberfläche der Zunge o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C02.2	Bösartige Neubildung: Zungenunterfläche
ICD-O-3.2 2019	C02\.3	Vordere 2/3 der Zunge	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C02.3	Bösartige Neubildung: Vordere zwei Drittel der Zunge, Bereich nicht näher bezeichnet
ICD-O-3.2 2019	C02\.4	Zungentonsille	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C02.4	Bösartige Neubildung: Zungentonsille
ICD-O-3.2 2019	C02\.8	Zunge, mehrere Bereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C02.8	Bösartige Neubildung: Zunge, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C02\.9	Zunge o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C02.9	Bösartige Neubildung: Zunge, nicht näher bezeichnet
ICD-O-3.2 2019	C03\.0	Oberkieferzahnfleisch	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C03.0	Bösartige Neubildung: Oberkieferzahnfleisch
ICD-O-3.2 2019	C03\.1	Unterkieferzahnfleisch	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C03.1	Bösartige Neubildung: Unterkieferzahnfleisch
ICD-O-3.2 2019	C03\.9	Zahnfleisch o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C03.9	Bösartige Neubildung: Zahnfleisch, nicht näher bezeichnet
ICD-O-3.2 2019	C04\.0	Vorderer Teil des Mundbodens	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C04.0	Bösartige Neubildung: Vorderer Teil des Mundbodens
ICD-O-3.2 2019	C04\.1	Seitlicher Teil des Mundbodens	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C04.1	Bösartige Neubildung: Seitlicher Teil des Mundbodens
ICD-O-3.2 2019	C04\.8	Mundboden, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C04.8	Bösartige Neubildung: Mundboden, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C04\.9	Mundboden o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C04.9	Bösartige Neubildung: Mundboden, nicht näher bezeichnet
ICD-O-3.2 2019	C05\.0	Harter Gaumen	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C05.0	Bösartige Neubildung: Harter Gaumen
