ICD10;Label;Rubrik
C00;Bösartige Neubildung der Lippe;
C00.0;Bösartige Neubildung: Äußere Oberlippe;preferredLong
C00.0;Bösartige Neubildung: Äußere Oberlippe;preferredLong
C00.1;Bösartige Neubildung: Äußere Unterlippe;preferredLong
C00.1;Bösartige Neubildung: Äußere Unterlippe;preferredLong
C00.2;Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet;preferredLong
C00.2;Bösartige Neubildung: Äußere Lippe, nicht näher bezeichnet;preferredLong
C00.3;Bösartige Neubildung: Oberlippe, Innenseite;preferredLong
C00.3;Bösartige Neubildung: Oberlippe, Innenseite;preferredLong
C00.4;Bösartige Neubildung: Unterlippe, Innenseite;preferredLong
C00.4;Bösartige Neubildung: Unterlippe, Innenseite;preferredLong
C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;preferredLong
C00.5;Bösartige Neubildung: Lippe, nicht näher bezeichnet, Innenseite;preferredLong
C00.6;Bösartige Neubildung: Lippenkommissur;preferredLong
C00.6;Bösartige Neubildung: Lippenkommissur;preferredLong
C00.8;Bösartige Neubildung: Lippe, mehrere Teilbereiche überlappend;preferredLong
C00.8;Bösartige Neubildung: Lippe, mehrere Teilbereiche überlappend;preferredLong
C00.9;Bösartige Neubildung: Lippe, nicht näher bezeichnet;preferredLong
C00.9;Bösartige Neubildung: Lippe, nicht näher bezeichnet;preferredLong
C01;Bösartige Neubildung des Zungengrundes;
C02;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Zunge;
C02.0;Bösartige Neubildung: Zungenrücken;preferredLong
C02.0;Bösartige Neubildung: Zungenrücken;preferredLong
C02.1;Bösartige Neubildung: Zungenrand;preferredLong
C02.1;Bösartige Neubildung: Zungenrand;preferredLong
C02.2;Bösartige Neubildung: Zungenunterfläche;preferredLong
C02.2;Bösartige Neubildung: Zungenunterfläche;preferredLong
C02.3;Bösartige Neubildung: Vordere zwei Drittel der Zunge, Bereich nicht näher bezeichnet;preferredLong
C02.3;Bösartige Neubildung: Vordere zwei Drittel der Zunge, Bereich nicht näher bezeichnet;preferredLong
C02.4;Bösartige Neubildung: Zungentonsille;preferredLong
C02.4;Bösartige Neubildung: Zungentonsille;preferredLong
C02.8;Bösartige Neubildung: Zunge, mehrere Teilbereiche überlappend;preferredLong
C02.8;Bösartige Neubildung: Zunge, mehrere Teilbereiche überlappend;preferredLong
C02.9;Bösartige Neubildung: Zunge, nicht näher bezeichnet;preferredLong
C02.9;Bösartige Neubildung: Zunge, nicht näher bezeichnet;preferredLong
C03;Bösartige Neubildung des Zahnfleisches;
C03.0;Bösartige Neubildung: Oberkieferzahnfleisch;preferredLong
C03.0;Bösartige Neubildung: Oberkieferzahnfleisch;preferredLong
C03.1;Bösartige Neubildung: Unterkieferzahnfleisch;preferredLong
C03.1;Bösartige Neubildung: Unterkieferzahnfleisch;preferredLong
C03.9;Bösartige Neubildung: Zahnfleisch, nicht näher bezeichnet;preferredLong
C03.9;Bösartige Neubildung: Zahnfleisch, nicht näher bezeichnet;preferredLong
C04;Bösartige Neubildung des Mundbodens;
C04.0;Bösartige Neubildung: Vorderer Teil des Mundbodens;preferredLong
C04.0;Bösartige Neubildung: Vorderer Teil des Mundbodens;preferredLong
C04.1;Bösartige Neubildung: Seitlicher Teil des Mundbodens;preferredLong
C04.1;Bösartige Neubildung: Seitlicher Teil des Mundbodens;preferredLong
C04.8;Bösartige Neubildung: Mundboden, mehrere Teilbereiche überlappend;preferredLong
C04.8;Bösartige Neubildung: Mundboden, mehrere Teilbereiche überlappend;preferredLong
C04.9;Bösartige Neubildung: Mundboden, nicht näher bezeichnet;preferredLong
C04.9;Bösartige Neubildung: Mundboden, nicht näher bezeichnet;preferredLong
C05;Bösartige Neubildung des Gaumens;
C05.0;Bösartige Neubildung: Harter Gaumen;preferredLong
C05.0;Bösartige Neubildung: Harter Gaumen;preferredLong
C05.1;Bösartige Neubildung: Weicher Gaumen;preferredLong
C05.1;Bösartige Neubildung: Weicher Gaumen;preferredLong
C05.2;Bösartige Neubildung: Uvula;preferredLong
C05.2;Bösartige Neubildung: Uvula;preferredLong
C05.8;Bösartige Neubildung: Gaumen, mehrere Teilbereiche überlappend;preferredLong
C05.8;Bösartige Neubildung: Gaumen, mehrere Teilbereiche überlappend;preferredLong
C05.9;Bösartige Neubildung: Gaumen, nicht näher bezeichnet;preferredLong
C05.9;Bösartige Neubildung: Gaumen, nicht näher bezeichnet;preferredLong
C06;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile des Mundes;
C06.0;Bösartige Neubildung: Wangenschleimhaut;preferredLong
C06.0;Bösartige Neubildung: Wangenschleimhaut;preferredLong
C06.1;Bösartige Neubildung: Vestibulum oris;preferredLong
C06.1;Bösartige Neubildung: Vestibulum oris;preferredLong
C06.2;Bösartige Neubildung: Retromolarregion;preferredLong
C06.2;Bösartige Neubildung: Retromolarregion;preferredLong
C06.8;Bösartige Neubildung: Sonstige und nicht näher bezeichnete Teile des Mundes, mehrere Teilbereiche überlappend;preferredLong
C06.8;Bösartige Neubildung: Sonstige und nicht näher bezeichnete Teile des Mundes, mehrere Teilbereiche überlappend;preferredLong
C06.9;Bösartige Neubildung: Mund, nicht näher bezeichnet;preferredLong
C06.9;Bösartige Neubildung: Mund, nicht näher bezeichnet;preferredLong
C07;Bösartige Neubildung der Parotis;
C08;Bösartige Neubildung sonstiger und nicht näher bezeichneter großer Speicheldrüsen;
C08.0;Bösartige Neubildung: Glandula submandibularis;preferredLong
C08.0;Bösartige Neubildung: Glandula submandibularis;preferredLong
C08.1;Bösartige Neubildung: Glandula sublingualis;preferredLong
C08.1;Bösartige Neubildung: Glandula sublingualis;preferredLong
C08.8;Bösartige Neubildung: Große Speicheldrüsen, mehrere Teilbereiche überlappend;preferredLong
C08.8;Bösartige Neubildung: Große Speicheldrüsen, mehrere Teilbereiche überlappend;preferredLong
C08.9;Bösartige Neubildung: Große Speicheldrüse, nicht näher bezeichnet;preferredLong
C08.9;Bösartige Neubildung: Große Speicheldrüse, nicht näher bezeichnet;preferredLong
C09;Bösartige Neubildung der Tonsille;
C09.0;Bösartige Neubildung: Fossa tonsillaris;preferredLong
C09.0;Bösartige Neubildung: Fossa tonsillaris;preferredLong
C09.1;Bösartige Neubildung: Gaumenbogen (vorderer) (hinterer);preferredLong
C09.1;Bösartige Neubildung: Gaumenbogen (vorderer) (hinterer);preferredLong
C09.8;Bösartige Neubildung: Tonsille, mehrere Teilbereiche überlappend;preferredLong
C09.8;Bösartige Neubildung: Tonsille, mehrere Teilbereiche überlappend;preferredLong
C09.9;Bösartige Neubildung: Tonsille, nicht näher bezeichnet;preferredLong
C09.9;Bösartige Neubildung: Tonsille, nicht näher bezeichnet;preferredLong
C10;Bösartige Neubildung des Oropharynx;
C10.0;Bösartige Neubildung: Vallecula epiglottica;preferredLong
C10.0;Bösartige Neubildung: Vallecula epiglottica;preferredLong
C10.1;Bösartige Neubildung: Vorderfläche der Epiglottis;preferredLong
C10.1;Bösartige Neubildung: Vorderfläche der Epiglottis;preferredLong
C10.2;Bösartige Neubildung: Seitenwand des Oropharynx;preferredLong
C10.2;Bösartige Neubildung: Seitenwand des Oropharynx;preferredLong
C10.3;Bösartige Neubildung: Hinterwand des Oropharynx;preferredLong
C10.3;Bösartige Neubildung: Hinterwand des Oropharynx;preferredLong
C10.4;Bösartige Neubildung: Kiemengang;preferredLong
C10.4;Bösartige Neubildung: Kiemengang;preferredLong
C10.8;Bösartige Neubildung: Oropharynx, mehrere Teilbereiche überlappend;preferredLong
C10.8;Bösartige Neubildung: Oropharynx, mehrere Teilbereiche überlappend;preferredLong
C10.9;Bösartige Neubildung: Oropharynx, nicht näher bezeichnet;preferredLong
C10.9;Bösartige Neubildung: Oropharynx, nicht näher bezeichnet;preferredLong
C11;Bösartige Neubildung des Nasopharynx;
C11.0;Bösartige Neubildung: Obere Wand des Nasopharynx;preferredLong
C11.0;Bösartige Neubildung: Obere Wand des Nasopharynx;preferredLong
C11.1;Bösartige Neubildung: Hinterwand des Nasopharynx;preferredLong
C11.1;Bösartige Neubildung: Hinterwand des Nasopharynx;preferredLong
C11.2;Bösartige Neubildung: Seitenwand des Nasopharynx;preferredLong
C11.2;Bösartige Neubildung: Seitenwand des Nasopharynx;preferredLong
C11.3;Bösartige Neubildung: Vorderwand des Nasopharynx;preferredLong
C11.3;Bösartige Neubildung: Vorderwand des Nasopharynx;preferredLong
