ID;ICD-10-Code;ICD-O-Code;ICD-10 Text;Label;Topography Text;Extended Label;Prompt Text
I01022;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Bösartige Neubildung der Außenseite der Oberlippe;Äußere Oberlippe;Bösartige Neubildung der Außenseite der Oberlippe (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I89627;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Bösartige Neubildung der äußeren Oberlippe;Äußere Oberlippe;Bösartige Neubildung der äußeren Oberlippe (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I19624;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Bösartige Neubildung der Lippenrotgrenze der Oberlippe;Äußere Oberlippe;Bösartige Neubildung der Lippenrotgrenze der Oberlippe (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I71329;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Bösartige Neubildung der oberen Lippenrotgrenze;Äußere Oberlippe;Bösartige Neubildung der oberen Lippenrotgrenze (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I20435;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Bösartige Neubildung der Oberlippe;Äußere Oberlippe;Bösartige Neubildung der Oberlippe (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I41764;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Bösartige Neubildung des Lippenrots der Oberlippe;Äußere Oberlippe;Bösartige Neubildung des Lippenrots der Oberlippe (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I55031;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Bösartige Neubildung des oberen Lippenstiftbereiches;Äußere Oberlippe;Bösartige Neubildung des oberen Lippenstiftbereiches (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I53243;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Karzinom der äußeren Oberlippe;Äußere Oberlippe;Karzinom der äußeren Oberlippe (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I11380;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Krebs der äußeren Oberlippe;Äußere Oberlippe;Krebs der äußeren Oberlippe (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I43911;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Oberlippenkarzinom;Äußere Oberlippe;Oberlippenkarzinom (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I72918;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Oberlippenkrebs;Äußere Oberlippe;Oberlippenkrebs (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I05287;C00.0;C00.0;Bösartige Neubildung: Äußere Oberlippe;Plattenepithelkarzinom der äußeren Oberlippe;Äußere Oberlippe;Plattenepithelkarzinom der äußeren Oberlippe (Äußere Oberlippe);Bösartige Neubildung: Äußere Oberlippe
I64752_1;C00.1;C00.1;Bösartige Neubildung: Äußere Unterlippe;Bösartige Neubildung der Außenseite der Unterlippe;Äußere Unterlippe;Bösartige Neubildung der Außenseite der Unterlippe (Äußere Unterlippe);Bösartige Neubildung: Äußere Unterlippe
