Code system;Method;Embedding model;LLM;Accuracy;Partial Accuracy;F1 weighted (exact);F1 weighted (partial);F1 macro (exact);F1 macro (partial);Malformed
ICD-10;retrieval-baseline: similarity search;ModernBERT;—;20.8;53.21;23.52;56.22;19.68;33.56;0.0
ICD-10;retrieval-baseline: similarity search;Nomic Embed v2;—;35.82;68.63;40.2;71.63;29.88;50.8;0.0
ICD-10;retrieval-baseline: similarity search;Qwen3-Embedding-8B;—;44.27;67.74;48.7;70.72;30.27;49.74;0.0
ICD-10;retrieval-baseline: similarity search;SapBERT;—;35.82;57.76;41.26;61.76;30.24;45.26;0.0
ICD-10;retrieval-baseline: similarity search;deepset-mxbai-embed;—;36.41;64.97;40.68;67.59;28.27;46.94;0.0
ICD-10;retrieval-baseline: similarity search;jina-embeddings-v2;—;32.26;59.63;37.22;63.05;28.02;45.3;0.0
ICD-10;retrieval-baseline: similarity search;jina-embeddings-v3;—;33.99;62.15;37.58;65.88;29.98;48.62;0.0
ICD-10;retrieval-baseline: similarity search;mE5;—;33.35;61.31;37.88;65.39;27.88;44.18;0.0
ICD-10;retrieval-baseline: similarity search;medBERT.de;—;25.99;49.51;29.62;51.85;22.69;36.66;0.0
ICD-10;retrieval-baseline: classifier head;ModernBERT;—;23.72;52.72;27.61;56.23;20.37;34.38;0.0
ICD-10;retrieval-baseline: classifier head;Nomic Embed v2;—;43.63;68.08;48.02;70.74;32.87;53.15;0.0
ICD-10;retrieval-baseline: classifier head;Qwen3-Embedding-8B;—;47.83;72.13;52.66;74.75;32.65;53.73;0.0
ICD-10;retrieval-baseline: classifier head;SapBERT;—;29.45;50.2;32.75;55.08;24.9;42.61;0.0
ICD-10;retrieval-baseline: classifier head;deepset-mxbai-embed;—;43.82;68.82;49.28;70.82;32.29;47.2;0.0
ICD-10;retrieval-baseline: classifier head;jina-embeddings-v2;—;40.76;63.24;45.87;67.07;31.31;49.18;0.0
ICD-10;retrieval-baseline: classifier head;jina-embeddings-v3;—;40.12;63.09;44.62;66.7;30.59;50.12;0.0
ICD-10;retrieval-baseline: classifier head;mE5;—;41.16;66.7;46.45;69.39;30.77;50.55;0.0
ICD-10;retrieval-baseline: classifier head;medBERT.de;—;30.78;57.81;35.78;59.52;25.91;44.66;0.0
ICD-10;zero-shot-prompting;Only_GTDS_ICD10_shots_questions;Llama 3.1 base;5.83;46.69;4.99;48.19;3.58;26.78;6.18
ICD-10;zero-shot-prompting;Only_GTDS_ICD10_shots_questions;Llama 3.1 PEFT;46.49;78.01;51.11;79.74;30.18;54.76;0.0
ICD-10;zero-shot-prompting;Only_GTDS_ICD10_shots_questions;Llama 3.3 base;22.92;74.65;24.0;74.39;15.69;49.22;0.94
ICD-10;zero-shot-prompting;Only_GTDS_ICD10_shots_questions;Llama 3.3 PEFT;57.56;83.65;62.54;85.32;40.96;65.71;0.05
ICD-10;Three-shot-prompting;random3_from_catalog_ICD10_shot_questions;Llama 3.1 base;8.05;57.07;7.17;59.02;4.94;30.73;2.72
ICD-10;Three-shot-prompting;random3_from_catalog_ICD10_shot_questions;Llama 3.1 PEFT;35.67;71.34;40.3;72.19;21.24;46.96;0.59
ICD-10;Three-shot-prompting;random3_from_catalog_ICD10_shot_questions;Llama 3.3 base;21.1;72.58;22.5;73.72;16.13;50.69;1.19
ICD-10;Three-shot-prompting;random3_from_catalog_ICD10_shot_questions;Llama 3.3 PEFT;54.79;82.95;60.02;84.06;36.7;62.72;0.0
ICD-10;RAG-prompting similarity search;ModernBERT;Llama 3.1 base;16.5;65.71;19.28;69.3;16.17;43.95;3.56
ICD-10;RAG-prompting similarity search;ModernBERT;Llama 3.1 PEFT;28.16;72.92;33.57;75.01;17.85;47.75;0.44
ICD-10;RAG-prompting similarity search;ModernBERT;Llama 3.3 base;29.64;78.8;32.63;79.81;24.24;58.44;0.4
ICD-10;RAG-prompting similarity search;ModernBERT;Llama 3.3 PEFT;56.27;83.45;61.21;84.71;38.22;64.31;0.0
ICD-10;RAG-prompting similarity search;Nomic Embed v2;Llama 3.1 base;20.36;67.84;22.34;70.88;20.15;46.97;4.69
ICD-10;RAG-prompting similarity search;Nomic Embed v2;Llama 3.1 PEFT;23.57;73.67;28.45;75.6;16.52;48.26;0.05
ICD-10;RAG-prompting similarity search;Nomic Embed v2;Llama 3.3 base;34.68;80.78;37.28;82.02;27.56;62.56;0.44
ICD-10;RAG-prompting similarity search;Nomic Embed v2;Llama 3.3 PEFT;57.31;83.65;62.12;84.85;38.89;64.29;0.0
ICD-10;RAG-prompting similarity search;Qwen3-Embedding-8B;Llama 3.1 base;20.26;71.84;22.31;74.2;19.89;48.54;1.68
ICD-10;RAG-prompting similarity search;Qwen3-Embedding-8B;Llama 3.1 PEFT;19.96;73.37;24.59;75.12;18.05;47.55;0.05
ICD-10;RAG-prompting similarity search;Qwen3-Embedding-8B;Llama 3.3 base;38.04;80.98;41.91;82.01;28.06;60.89;0.44
ICD-10;RAG-prompting similarity search;Qwen3-Embedding-8B;Llama 3.3 PEFT;57.71;83.65;62.9;84.99;41.51;63.12;0.0
ICD-10;RAG-prompting similarity search;SapBERT;Llama 3.1 base;19.86;67.05;21.97;70.03;19.58;45.22;2.08
ICD-10;RAG-prompting similarity search;SapBERT;Llama 3.1 PEFT;23.47;71.0;28.46;72.77;18.54;44.68;0.2
ICD-10;RAG-prompting similarity search;SapBERT;Llama 3.3 base;34.34;80.48;37.81;81.69;27.06;60.82;0.49
ICD-10;RAG-prompting similarity search;SapBERT;Llama 3.3 PEFT;56.62;83.25;61.23;84.62;37.06;63.12;0.0
ICD-10;RAG-prompting similarity search;deepset-mxbai-embed;Llama 3.1 base;20.21;67.84;22.24;70.8;21.38;46.76;2.57
ICD-10;RAG-prompting similarity search;deepset-mxbai-embed;Llama 3.1 PEFT;23.62;72.38;28.34;73.76;18.5;45.81;0.25
ICD-10;RAG-prompting similarity search;deepset-mxbai-embed;Llama 3.3 base;34.63;80.88;38.0;82.14;26.71;60.92;0.64
ICD-10;RAG-prompting similarity search;deepset-mxbai-embed;Llama 3.3 PEFT;56.32;83.0;61.15;84.22;37.05;62.88;0.0
ICD-10;RAG-prompting similarity search;jina-embeddings-v2;Llama 3.1 base;19.32;68.63;21.2;71.51;20.3;47.24;2.82
ICD-10;RAG-prompting similarity search;jina-embeddings-v2;Llama 3.1 PEFT;24.56;72.48;29.44;74.31;20.3;47.13;0.4
ICD-10;RAG-prompting similarity search;jina-embeddings-v2;Llama 3.3 base;33.1;81.47;36.21;82.69;25.0;61.39;0.4
ICD-10;RAG-prompting similarity search;jina-embeddings-v2;Llama 3.3 PEFT;58.0;83.5;62.87;84.78;39.64;63.47;0.0
ICD-10;RAG-prompting similarity search;jina-embeddings-v3;Llama 3.1 base;20.11;68.03;21.7;71.0;21.59;47.82;4.25
ICD-10;RAG-prompting similarity search;jina-embeddings-v3;Llama 3.1 PEFT;22.83;73.76;27.15;75.35;18.52;48.25;0.0
ICD-10;RAG-prompting similarity search;jina-embeddings-v3;Llama 3.3 base;34.73;81.42;38.27;83.06;25.95;62.81;1.09
ICD-10;RAG-prompting similarity search;jina-embeddings-v3;Llama 3.3 PEFT;57.46;83.75;62.12;84.73;39.68;64.12;0.0
ICD-10;RAG-prompting similarity search;mE5;Llama 3.1 base;18.97;68.33;21.15;71.34;18.95;45.98;2.62
ICD-10;RAG-prompting similarity search;mE5;Llama 3.1 PEFT;22.78;73.81;26.86;75.46;18.48;48.84;0.1
ICD-10;RAG-prompting similarity search;mE5;Llama 3.3 base;34.68;81.18;38.15;82.28;26.61;60.75;0.44
ICD-10;RAG-prompting similarity search;mE5;Llama 3.3 PEFT;57.76;84.39;62.43;85.53;38.91;62.67;0.0
